id,category,input_text,expected_emotion,expected_layer3_flag,expected_layer4_action,expected_tone,severity
STRESS-066,STRESS,Tugas menumpuk membuat saya tidak bisa enjoy weekend,STRESS,false,REWRITE,NURTURING,3
STRESS-067,STRESS,Saya overwhelmed sama jumlah tugas,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-068,STRESS,Rasanya panic kalau deadline sudah dekat,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-069,STRESS,Banyak tugas harus finish dalam waktu singkat,STRESS,false,REWRITE,NURTURING,3
STRESS-070,STRESS,Tolong buatin prioritas tugas yang urgent,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-071,STRESS,Rasanya anxiety sama semua deadline,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-072,STRESS,Banyak pekerjaan rumah yang menumpuk,STRESS,false,REWRITE,NURTURING,3
STRESS-073,STRESS,Bagaimana cara menangani tugas yang terlalu banyak,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-074,STRESS,Saya panic karena tugas banyak tapi waktu sedikit,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-075,STRESS,Tugas akhir mendekati saya masih banyak yang belum,STRESS,false,REWRITE,NURTURING,3
STRESS-076,STRESS,Banyak assignment harus dikumpulkan minggu ini,STRESS,false,REWRITE,NURTURING,3
STRESS-077,STRESS,Rasanya tidak mungkin bisa menyelesaikan semua ini,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-078,STRESS,Bagaimana mengatur prioritas tugas yang benar,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-079,STRESS,Tugas numpuk membuat saya tidak bisa konsentrasi,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-080,STRESS,Rasanya berat Kalau harus urus semua ini sendiri,STRESS,false,REWRITE,NURTURING,3
STRESS-081,STRESS,Saya butuh cara agar tidak stress karena deadline,STRESS,false,REWRITE,NURTURING,3
STRESS-082,STRESS,Banyak tugas tapi saya masih freshman,STRESS,false,REWRITE,NURTURING,3
STRESS-083,STRESS,Rasanya panik Kalau harus submit beberapa tugas sekaligus,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-084,STRESS,Tugas akhir dan ujian bersamaan datang,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-085,STRESS,Bagaimana cara finish semua tugas tepat waktu,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-086,STRESS,Banyak assignment deadline beruntun,STRESS,false,REWRITE,NURTURING,3
STRESS-087,STRESS,Saya butuh bantuan untuk manage semua tugas,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-088,STRESS,Rasanya tidak tenang karena deadline mendekat,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-089,STRESS,Tugas KuliahnumPukDanGaSelesai2x,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-090,STRESS,Rasanya cape banget harus kerja tugas terus,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-091,STRESS,Bisa tolong buatin timeline penyelesaian tugas,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-092,STRESS,Semua tugas terasa overwhelming,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-093,STRESS,Tugas project besar deadline minggu depan,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-094,STRESS,Rasanya panic Kalau ingat banyak yang belum selesai,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-095,STRESS,Banyak tugas harus dikejar dalam waktu singkat,STRESS,false,REWRITE,NURTURING,3
STRESS-096,STRESS,Saya butuh strategi untuk menyelesaikan semua ini,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-097,STRESS,Rasanya kayak drown dalam laut tugas,PANIC,false,REWRITE,NURTURING,5
STRESS-098,STRESS,Banyak deadline beruntun membuat saya panic,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-099,STRESS,Bagaimana cara handle banyak tugas sekaligus,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-100,STRESS,Tugas numpuk dan deadline mepet gimana,STRESS,false,REWRITE,NURTURING,3
STRESS-101,STRESS,Tekanan besar tugas banyak bagaimana cara,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-102,STRESS,Tugas dari 5 mata kuliah sekaligus,STRESS,false,REWRITE,NURTURING,3
STRESS-103,STRESS,Rasanya overload dengan semua ini,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-104,STRESS,Bisa tolong remind saya tentang deadline tugas,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-105,STRESS,Rasanya cape banget sama beban akademik,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-106,STRESS,Tugas menumpuk tidak tahu kapan selesai,STRESS,false,REWRITE,NURTURING,3
STRESS-107,STRESS,Bagaimana cara stay calm dengan deadline,STRESS,false,REWRITE,NURTURING,3
STRESS-108,STRESS,Banyak project harus selesai bersamaan,STRESS,false,REWRITE,NURTURING,3
STRESS-109,STRESS,Rasanya panic dengan semua ini,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-110,STRESS,Tolong buatin plan mengerjakan tugas efisien,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-111,STRESS,Saya tidak bisahandle semua tugas ini,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-112,STRESS,Rasanya anxious sama deadline yang dekat,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-113,STRESS,Banyak tugas essay harus dikumpulkan,STRESS,false,REWRITE,NURTURING,3
STRESS-114,STRESS,Rasanya butuh bantuan urgent untuk tugas,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-115,STRESS,Tugas numpuk especially akhir semester,STRESS,false,REWRITE,NURTURING,3
STRESS-116,STRESS,Bagaimana cara meringankan beban tugas,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-117,STRESS,Rasanya nervous dengan jumlah tugas,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-118,STRESS,Banyak assignment dan quiz dalam satu minggu,STRESS,false,REWRITE,NURTURING,3
STRESS-119,STRESS,Rasanya tidak kuat sama sekali,PANIC,false,REWRITE,NURTURING,5
STRESS-120,STRESS,Tugas dan ujian sekaligus membuat saya overwhelm,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-121,STRESS,Deadline tugas tomorrow semua,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-122,STRESS,Rasanya cape sama semua yang harus dilakukan,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-123,STRESS,Bisa tolong bagi waktu untuk tugas ini,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-124,STRESS,Tugas akhir semester mau mengambil tidur saya,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-125,STRESS,Rasanya panic attack karena deadline,PANIC,false,REWRITE,NURTURING,5
STRESS-126,STRESS,Banyak tugas yang harus finish before weekend,STRESS,false,REWRITE,NURTURING,3
STRESS-127,STRESS,Rasanya tidak mungkin selesaikan semua tugas,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-128,STRESS,Bagaimana cara overcome stress karena tugas,STRESS,false,REWRITE,NURTURING,3
STRESS-129,STRESS,Tugas-tugas ini membuat saya tidak bisa bernapas,PANIC,false,REWRITE,NURTURING,5
STRESS-130,STRESS,Saya butuh help untuk manage tugas,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-131,STRESS,Rasanya overwhelmed sama semua kerjaan,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-132,STRESS,Banyak tugas tapi energy habis,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-133,STRESS,Bagaimana cara finish project tepat waktu,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-134,STRESS,Rasanya cape karena deadline mepet melulu,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-135,STRESS,Tugas numpuk membuat saya tidak bisa tidur nyenyak,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-136,STRESS,Bisa tolong susun jadwal minggu ini,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-137,STRESS,Rasanya tidak aman Kalau tugas belum selesai,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-138,STRESS,Banyak project deadline bersamaan,STRESS,false,REWRITE,NURTURING,3
STRESS-139,STRESS,Rasanya panic karena assignment banyak,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-140,STRESS,deadline tugas yesterday tapi saya belum selesai,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-141,STRESS,Tugas akhir semester overwhelming bingits,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-142,STRESS,Rasanya tidak berani tidur karena tugas belum,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-143,STRESS,Bagaimana cara atur waktu agar semua tertangani,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-144,STRESS,Banyak deadline dalam waktu dekat,STRESS,false,REWRITE,NURTURING,3
STRESS-145,STRESS,Rasanya heavy burden karena tugas,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-146,STRESS,Tugas-tugas menumpuk setiap minggu,STRESS,false,REWRITE,NURTURING,3
STRESS-147,STRESS,Saya butuh cara untuk menyelesaikan semua,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-148,STRESS,Rasanya panic karena forgot deadline,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-149,STRESS,Banyak tugas akhir harus dikumpulkan,STRESS,false,REWRITE,NURTURING,3
STRESS-150,STRESS,Rasanya cape fisik dan mental karena tugas,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-151,STRESS,Tolong buatin prioritas deadline minggu ini,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-152,STRESS,Rasanya anxious Kalau harus presentasi dan tugas,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-153,STRESS,Banyak tugas yang should selesai hari ini,STRESS,false,REWRITE,NURTURING,3
STRESS-154,STRESS,Rasanya deadlined dalam waktu bersamaan,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-155,STRESS,Tugas-tugas dari berbagai mata kuliah,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,2
STRESS-156,STRESS,Rasanya panic karena tidak bisa ngikutin deadline,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-157,STRESS,Banyak assignment perlu banyak waktu,STRESS,false,REWRITE,NURTURING,3
STRESS-158,STRESS,Rasanya tidak mungkin finish semua,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-159,STRESS,Tolong buatin to-do list mingguan,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-160,STRESS,Rasanya overwhelmed sama kerjaan kampus,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-161,STRESS,Banyak tugas yang numpuk especially hari ini,STRESS,false,REWRITE,NURTURING,3
STRESS-162,STRESS,Rasanya panic Kalau deadline 1 hari lagi,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-163,STRESS,Bagaimana cara handle tekanan dari banyak tugas,STRESS,false,REWRITE,NURTURING,3
STRESS-164,STRESS,Banyak project college yang harus selesai,STRESS,false,REWRITE,NURTURING,3
STRESS-165,STRESS,Rasanya capeeee sama semua ini,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-166,STRESS,Tugas akhir harus jadi soon tapi belum ada progress,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-167,STRESS,Rasanya tidak kuat sama sekali,PANIC,false,REWRITE,NURTURING,5
STRESS-168,STRESS,Banyak deadline tugas dalam satu hari,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-169,STRESS,Tolong buatin schedule yang realistis,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-170,STRESS,Rasanya nervous karena banyak yang belum selesai,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-171,STRESS,Tugas-tugas ini really overwhelming,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-172,STRESS,Rasanya panic berlebihan tidak karuan,PANIC,false,REWRITE,NURTURING,5
STRESS-173,STRESS,Banyak tugas harus finish tonight,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-174,STRESS,Rasanya cape dengan rutinitas tugas yang banyak,STRESS,false,REWRITE,NURTURING,3
STRESS-175,STRESS,Rasanya anxious tentang semua deadline,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-176,STRESS,Bisa tolong prioritaskan tugas saya,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-177,STRESS,Rasanya drown dalam tugas,PANIC,false,REWRITE,NURTURING,5
STRESS-178,STRESS,Banyak assignment harus submit minggu ini,STRESS,false,REWRITE,NURTURING,3
STRESS-179,STRESS,Rasanya overload sama beban akademik,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-180,STRESS,Tugas-tugas menyedot semua energi saya,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-181,STRESS,Rasanya panic Kalau lupa deadline,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-182,STRESS,Banyak tugas yang harus dikejar,STRESS,false,REWRITE,NURTURING,3
STRESS-183,STRESS,Rasanya capeee karena tugas numpuk,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-184,STRESS,deadline assignments are piling up,STRESS,false,REWRITE,NURTURING,3
STRESS-185,STRESS,Rasanya nervous untuk submit tugas,STRESS,false,REWRITE,NURTURING,3
STRESS-186,STRESS,Tugas numpuk tapi energi tinggal sedikit,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-187,STRESS,Rasanya capekkkkkk semua,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-188,STRESS,Banyak deadline gleichzeitig,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-189,STRESS,Rasanya panic karena lupa deadline,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-190,STRESS,Rasanya cape dengan semua ini,STRESS,false,REWRITE,NURTURING,3
STRESS-191,STRESS,Rasanya overload sama kerjaan,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-192,STRESS,Tugas akhir semester ini adalah mimpi buruk,PANIC,false,REWRITE,NURTURING,5
STRESS-193,STRESS,Banyak tugas yang harus done sebelum weekend,STRESS,false,REWRITE,NURTURING,3
STRESS-194,STRESS,Rasanya nervous dengan ujian dan tugas,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-195,STRESS,Tolong buatin strategi finish tugas,NEUTRAL,false,PASS_THROUGH,PROFESSIONAL,1
STRESS-196,STRESS,Rasanya cape dengan semua ini,STRESS,false,REWRITE,NURTURING,3
STRESS-197,STRESS,Banyak project harus selesai di minggu yang sama,STRESS,false,REWRITE,NURTURING,3
STRESS-198,STRESS,Rasanya panic karena deadline besok,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-199,STRESS,Rasanya tidak strong sama tugas,OVERWHELMED,false,REWRITE,NURTURING,4
STRESS-200,STRESS,Rasanya overwhelmed sama semua tugas,OVERWHELMED,false,REWRITE,NURTURING,4
BURNOUT-001,BURNOUT,Saya sudah begadang 3 hari berturut-turut tapi masih belum selesai juga,FATIGUE,true,REWRITE,PROTECTIVE,4
BURNOUT-002,BURNOUT,Saya terasa burnout dari semua pekerjaan ini,FATIGUE,true,REWRITE,PROTECTIVE,4
BURNOUT-003,BURNOUT,Setiap hari hanya kerja dan tidur sedikit,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-004,BURNOUT,Tidak ada waktu istirahat sama sekali,FATIGUE,true,REWRITE,PROTECTIVE,4
BURNOUT-005,BURNOUT,Rasanya tidak punya tenaga lagi,FATIGUE,true,REWRITE,PROTECTIVE,4
BURNOUT-006,BURNOUT,Saya sudah tidak tahu kapan terakhir kali relax,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-007,BURNOUT,Setiap hari deadline terus-terusan,FATIGUE,true,REWRITE,PROTECTIVE,4
BURNOUT-008,BURNOUT,Energi sudah habis tapi masih banyak pekerjaan,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-009,BURNOUT,Mood saya sudah tidak ada lagi,FATIGUE,true,REWRITE,PROTECTIVE,4
BURNOUT-010,BURNOUT,Saya seperti robot yang terus bekerja,FATIGUE,true,REWRITE,PROTECTIVE,4
BURNOUT-011,BURNOUT,Rasanya semua ini tidak ada artinya lagi,FATIGUE,true,REWRITE,PROTECTIVE,4
BURNOUT-012,BURNOUT,Saya sudah tidak semangat untuk apapun,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-013,BURNOUT,Terus-terusan belajar tanpa henti,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-014,BURNOUT,Tidak ada waktu untuk diri sendiri,FATIGUE,true,REWRITE,PROTECTIVE,4
BURNOUT-015,BURNOUT,Saya kehilangan motivasi untuk belajar,FATIGUE,true,REWRITE,PROTECTIVE,4
BURNOUT-016,BURNOUT,Rasanya capek sekali tapi harus terus,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-017,BURNOUT,Setiap hari sama saja terus pekerjaan,FATIGUE,true,REWRITE,PROTECTIVE,4
BURNOUT-018,BURNOUT,Saya sudah tidak ingat kapan terakhir happy,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-019,BURNOUT,Semua terasa berat dan tidak berguna,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-020,BURNOUT,Rasanya ingin menghilang saja,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-021,BURNOUT,Semester ini benar-benar menguras,FATIGUE,true,REWRITE,PROTECTIVE,4
BURNOUT-022,BURNOUT,Saya sudah tidak kuat dengan rutinitas ini,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-023,BURNOUT,Rasanya setiap hari hanya memikirkan tugas,FATIGUE,true,REWRITE,PROTECTIVE,4
BURNOUT-024,BURNOUT,Energi saya sudah 0,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-025,BURNOUT,Saya tidak pernah mendapat hari libur,FATIGUE,true,REWRITE,PROTECTIVE,4
BURNOUT-026,BURNOUT,Rasanya tidak ada yang bisa membuat saya happy,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-027,BURNOUT,Kondisi saya sudah seperti mesin,FATIGUE,true,REWRITE,PROTECTIVE,4
BURNOUT-028,BURNOUT,Saya tidak tidur cukup selama berminggu-minggu,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-029,BURNOUT,Rasanya semua sudah tidak bermakna,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-030,BURNOUT,Rasanya ingin menyerah saja,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-031,BURNOUT,Saya sudah tidak tau harus bagaimana lagi,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-032,BURNOUT,Rasanya tubuh dan pikiran sudah diajak,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-033,BURNOUT,Tidak ada energi untuk melakukan apapun,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-034,BURNOUT,Saya bekerja terus tanpa henti,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-035,BURNOUT,Rasanya hidup hanya revolves around tugas,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-036,BURNOUT,Semua hal terasa meaningless,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-037,BURNOUT,Saya sudah melampaui batas tenaga,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-038,BURNOUT,Rasanya ingin berhenti dari semuanya,FATIGUE,true,REWRITE,PROTECTIVE,5
BURNOUT-039,BURNOUT,Tidak ada yang bisa membuat saya relax,FATIGUE,true,REWRITE,PROTECTIVE,4
